proteina,modelo,R2_mean,R2_std,MAE_mean,RMSE_mean
dG_P-gp_MDR1,Random Forest,0.8025,0.1631,0.4506,0.6183
dG_P-gp_MDR1,GradientBoosting,0.8234,0.1552,0.3973,0.5608
dG_P-gp_MDR1,SVR,0.8355,0.1353,0.3712,0.5888
dG_P-gp_MDR1,MLP,-1.0011,1.0561,1.6608,2.1172
dG_CYP3A4,Random Forest,0.5432,0.5288,0.5792,1.0692
dG_CYP3A4,GradientBoosting,0.5348,0.5245,0.5844,1.0232
dG_CYP3A4,SVR,0.1447,0.5022,1.0032,1.6289
dG_CYP3A4,MLP,-1.0588,1.451,1.8945,2.3611
dG_TfR1,Random Forest,0.8079,0.1994,0.3501,0.4689
dG_TfR1,GradientBoosting,0.8571,0.1287,0.3208,0.4139
dG_TfR1,SVR,0.8133,0.0571,0.379,0.5371
dG_TfR1,MLP,-1.4008,1.2444,1.4334,1.8529
dG_FRalpha,Random Forest,0.517,0.5614,0.5963,0.8245
dG_FRalpha,GradientBoosting,0.6366,0.3447,0.5467,0.7666
dG_FRalpha,SVR,0.6691,0.2368,0.5252,0.7706
dG_FRalpha,MLP,-1.3662,1.6156,1.6846,2.0522
dG_Lisozima,Random Forest,0.7163,0.3191,0.2759,0.3563
dG_Lisozima,GradientBoosting,0.6804,0.3922,0.2733,0.3586
dG_Lisozima,SVR,0.7691,0.1063,0.287,0.3907
dG_Lisozima,MLP,-2.4916,2.1887,1.2409,1.4455
dG_HSA,Random Forest,0.6583,0.4572,0.3677,0.4924
dG_HSA,GradientBoosting,0.7598,0.3211,0.3141,0.4079
dG_HSA,SVR,0.7755,0.1687,0.3515,0.5044
dG_HSA,MLP,-1.5181,1.9034,1.3101,1.5961
