feature,shap_mean_abs
BertzCT,0.27261637359595264
NumBonds,0.11067781206441066
MW,0.10931936209134709
ExactMW,0.0739374586234064
ATSC2p,0.058773315273148316
ATSC2v,0.05718759933913311
ATSC2m,0.05166546813269436
ATSC1m,0.05060441374469351
Chi0v,0.04393034232323464
ATSC0v,0.0423799437169776
ATSC1Z,0.041230142466291926
ATSC2Z,0.035598803817319905
LabuteASA,0.023880703811459753
ATSC0c,0.02384871664756372
WNSA1,0.02234696424117045
ATSC1d,0.021786961133249183
NumHeavyAt,0.021715310569851046
ATSC1v,0.020933024060441237
AATS1v,0.02013445710590237
NumAtoms,0.01799907145663873
MATS1p,0.017934827695631685
ATSC1p,0.01792530184849104
ATSC0m,0.01785653308237695
NumHetAt,0.017186728497915964
GRAV,0.01707507480904232
MOMI-Z,0.016778877534314673
ZMIC0,0.013382513165698742
ATSC1c,0.01267565251527095
ATSC0p,0.012218074724814587
MR,0.011676908086816828
ATS0Z,0.011616784117318351
Chi1v,0.011302284778846308
ATSC2se,0.010383526278147879
MATS2p,0.009816946393522177
PBF,0.00980158842269072
ATSC0i,0.009775991830344844
MATS2d,0.008934827831830335
TPSA,0.008721524708674855
MACCS_101,0.008485172998907161
Morgan_1873,0.008467069776226783
NumStereocenters,0.008459826246379266
WNSA3,0.008322160986118595
FilterItLogS,0.007855431949137704
SMR_VSA1,0.007780983862191766
NumRings,0.007651619374875619
DPSA2,0.007550848151866373
ATS2are,0.007381962231886635
ATS2d,0.007064749898886914
WNSA2,0.007013399914925378
Kappa1,0.0068397146925559
PNSA2,0.006828762411142643
ATSC0dv,0.006822145644582841
AATSC1v,0.006758163117583023
ATS2v,0.00666512810052259
ATS1Z,0.006544943893270751
ATS1p,0.0063992820041721896
WNSA4,0.0062255464766783
AATS1p,0.006016200700074187
ATSC1i,0.005923317549562309
PEOE_VSA6,0.005896594706291376
ATSC2c,0.005819177658843114
ATSC1are,0.0057218143406678555
AATSC1p,0.005263455711789822
PNSA4,0.004589251521481414
ATS2m,0.004421600946034465
ATSC2pe,0.004267804337181988
ATSC0se,0.00411906247135478
RPCG,0.004054737935898437
WNSA5,0.003730206145250371
ATS0dv,0.003725364120272833
ATSC1pe,0.003631966475872286
Sm,0.003624554484369293
bpol,0.003515021046455957
AATSC2p,0.003493317417369724
AATS0v,0.0034787368829279604
ATS2pe,0.0034785840779885733
ATSC2are,0.0034086331081677377
AATSC0v,0.0033400553423815443
AATS0d,0.0032321510993818833
ATSC1se,0.003054515999754552
GeomDiameter,0.00298460477722376
GATS1d,0.0029518603803770373
ATS0v,0.002942744864803161
nC,0.002918796243838034
FNSA2,0.002836963113624649
LabuteASA_3d,0.0028121856706790857
SLogP,0.0027811700486428718
ATSC0pe,0.0027782419645690014
ATS2i,0.002764675454757449
RNCG,0.002731194187887987
ATS0m,0.0026895180910926175
BIC2,0.0026461896340689004
ATSC0are,0.0026011973647623826
GeomRadius,0.0024484355167338247
PNSA5,0.0024269043273625504
PNSA1,0.002376030125040247
ZMIC1,0.0023175987314345533
ATS2se,0.002298452373053756
SMR_VSA5,0.0021971351788841673
PNSA3,0.00216754239794691
CIC2,0.0020687495226259923
TASA,0.0020164824578597527
ATSC2i,0.001984734947893117
ATS1v,0.0019344413295320068
BIC4,0.0019180575138286124
ATS2Z,0.0019175118023253327
Morgan_1750,0.001915180527062274
AATS0p,0.0018967637612762995
CIC5,0.001759919197623214
MOMI-X,0.0016553737167775242
ATS0d,0.0016450970993688932
nAtom,0.0016344723276799451
TIC3,0.0016020739031081459
nO,0.0015600720698332004
BIC1,0.0015472573042495338
ATSC0d,0.0015214439785290782
DPSA5,0.0014550307067152384
BIC5,0.001446331671670491
Mp,0.0013952767287973569
ATSC0Z,0.0013680057540938991
Morgan_1257,0.0013362303960292286
EState_VSA2,0.0013326817756894658
ATS0are,0.001328227855631549
ATSC2d,0.0013225104521776764
ZMIC3,0.0012939441788280446
SIC2,0.0012721851863903985
Sv,0.0012701191203917145
SMR,0.0012563075613711897
CIC0,0.0012536315294069931
ATS1m,0.001223845402043391
CIC1,0.0012055799690019915
Sare,0.0012050386566478494
MOMI-Y,0.001204282996253171
nH,0.0011829543947098522
TPSA_3d,0.0011760768187747332
MACCS_89,0.001166400385932764
SlogP_VSA2,0.0011420531960741043
BIC3,0.001113251553229462
AATSC2d,0.0010563782270490419
SlogP_VSA5,0.0010519943097901446
ATS0se,0.0010516131738805832
ATS1se,0.0010405744380797568
MACCS_163,0.0010296716740064485
ATSC2dv,0.0010273533109407356
nHeavyAtom,0.001023786780274409
ATS1i,0.0010207410529868232
ATS2p,0.0010008149962882147
ATS0pe,0.0009894769798703886
ATS0i,0.0009541635255866747
MW_3d,0.0009195226055926811
SIC1,0.0009134528335767912
SIC3,0.0008971225861495858
SIC5,0.000838695937697382
VMcGowan,0.0008254246787732562
apol,0.0007842138609058508
TIC1,0.0007810155952996851
nBondsKS,0.0007501344892319144
PEOE_VSA8,0.0007141464984554886
BertzCT_3d,0.0007115071132579718
HBA,0.0006828350160382812
nBonds,0.0006740959859892411
Sp,0.0006549587777201123
nHetero,0.0006502745023264764
SZ,0.0006497487133590423
ZMIC4,0.0006468016892932948
ATS1are,0.0006424613065939727
TIC5,0.0006188138646569029
ATS1pe,0.0006108869851590443
Sse,0.0006100743834137783
TIC0,0.0006056448917441968
ZMIC5,0.0005949979012595993
TIC2,0.0005908496505209386
ZMIC2,0.0005702591827765722
TopoPSA(NO),0.0005659549346602071
ATS0p,0.0005619132551487414
PEOE_VSA1,0.0005509408089598768
DPSA3,0.0005464490408793552
AATSC0p,0.000515631969929138
TIC4,0.0004864980474641018
CIC3,0.0004832141519664426
SIC4,0.00045517164716429257
TopoPSA,0.0004419555181988032
CIC4,0.00037942193920522055
DPSA4,0.00034367059001688926
TpiPC10,0.000342465112575812
nBondsS,0.00032633116299541053
Si,0.0003235203457505236
Vabc,0.0003033886697859544
TSRW10,0.000259365824587244
Spe,0.00025588597069253494
MACCS_127,0.0002532531307270776
TMPC10,0.00023966829416383227
TMWC10,0.00017361241837327249
MACCS_143,0.00016394637501176304
NumArRings,9.971138212229436e-05
MACCS_165,7.222573486925697e-05
MACCS_105,6.77880517598043e-05
MACCS_140,3.6456489967606714e-05
MACCS_125,2.1876077688019702e-05
MACCS_145,0.0
